passenger_id,pnr_no,flight_number,baggage_allowance,luggage_id,fare_type,seal,meal,extra_luggage,check_in,name,surname,email,phone,gender,birth_date,cip_member,vip_member,child,disabled
78901234574,STU23434,NaN,45,543210987434,NaN,NaN,False,20,False,Grayson,Bishop,graysonbishop@outlook.com,7890123456,Male,29/07/1990,False,False,False,False
89012345685,VWX78935,NaN,25,432109876535,NaN,NaN,True,10,True,Harper,Morrison,harpermorrison@gmail.com,8901234567,Female,16/02/1985,False,False,False,False
90123456796,YZA12336,NaN,15,321098765636,NaN,NaN,False,15,False,Liam,Gilliam,liamgilliam@icloud.com,9012345678,Male,01/05/1998,False,False,False,False
12345678907,BCD23437,NaN,25,210987654737,NaN,NaN,True,20,False,Evelyn,Watkins,evelynwatkins@outlook.com,1234567890,Female,18/10/1981,False,False,False,False
23456789018,EFG78938,NaN,35,098765432838,NaN,NaN,False,10,True,Carter,Peters,carterpeters@gmail.com,2345678901,Male,23/03/1996,False,False,False,False
34567890129,HIJ23439,NaN,45,987654321939,NaN,NaN,True,15,False,Sofia,Stanley,sofiastanley@icloud.com,3456789012,Female,09/08/1987,False,False,False,False
45678901240,KLM78940,NaN,15,876543210040,NaN,NaN,False,20,True,Lincoln,Hughes,lincolnhughes@outlook.com,4567890123,Male,26/01/1992,False,False,False,False
56789012351,NOP23441,NaN,25,765432109141,NaN,NaN,False,10,True,Ava,Murray,avamurray@gmail.com,5678901234,Female,02/04/1986,False,False,False,False
67890123462,PQR78942,NaN,35,654321098242,NaN,NaN,True,15,False,Owen,Holmes,owenholmes@icloud.com,6789012345,Male,15/09/1991,False,False,False,False
78901234573,STU23443,NaN,45,543210987343,NaN,NaN,False,20,True,Emma,Bowman,emmabowman@outlook.com,7890123456,Female,10/06/1984,False,False,False,False
89012345684,VWX78944,NaN,25,765432109444,NaN,NaN,False,15,True,Mason,Ward,mason.ward@gmail.com,5432109876,Male,03/05/1997,False,False,False,False
90123456795,YZA12345,NaN,15,654321098545,NaN,NaN,True,10,False,Emma,White,emma.white@outlook.com,4321098765,Female,11/28/1983,False,False,False,False
12345678906,BCD23446,NaN,25,543210987646,NaN,NaN,False,20,True,Elijah,Turner,elijah.turner@icloud.com,3210987654,Male,09/15/1998,False,False,False,False
23456789017,EFG78947,NaN,35,432109876747,NaN,NaN,True,15,False,Lily,Martin,lily.martin@gmail.com,2109876543,Female,05/18/1980,False,False,False,False
34567890128,HIJ23448,NaN,45,321098765848,NaN,NaN,False,10,True,Oliver,Miller,oliver.miller@outlook.com,1098765432,Male,12/12/1987,False,False,False,False
45678901239,KLM78949,NaN,15,210987654949,NaN,NaN,True,15,False,Sophie,Clark,sophie.clark@icloud.com,987654321,Female,07/03/1986,False,False,False,False
56789012350,NOP23450,NaN,25,109876543050,NaN,NaN,False,20,True,Ethan,Evans,ethan.evans@gmail.com,8765432101,Male,04/14/2001,False,False,False,False
67890123461,PQR78951,NaN,35,098765432151,NaN,NaN,True,10,False,Grace,Carter,grace.carter@outlook.com,7654321098,Female,01/27/1988,False,False,False,False
78901234572,STU23452,NaN,45,987654321252,NaN,NaN,False,15,True,Aiden,Perry,aiden.perry@icloud.com,6543210987,Male,09/09/1994,False,False,False,False
89012345683,VWX78953,NaN,25,876543210353,NaN,NaN,True,20,False,Amelia,Greene,amelia.greene@gmail.com,5432109876,Female,06/26/1981,False,False,False,False
90123456794,YZA12354,NaN,15,765432109454,NaN,NaN,False,10,True,Liam,Turner,liam.turner@outlook.com,4321098765,Male,02/03/1999,False,False,False,False
12345678905,BCD23455,NaN,25,654321098555,NaN,NaN,True,15,False,Lily,Knight,lily.knight@icloud.com,3210987654,Female,08/16/1984,False,False,False,False
23456789016,EFG78956,NaN,35,543210987656,NaN,NaN,False,20,True,Mason,Fisher,mason.fisher@gmail.com,2109876543,Male,04/29/1990,False,False,False,False
34567890127,HIJ23457,NaN,45,432109876757,NaN,NaN,True,10,False,Lily,Harrison,lily.harrison@outlook.com,1098765432,Female,12/12/1987,False,False,False,False
45678901238,KLM78958,NaN,15,321098765858,NaN,NaN,False,15,True,Emma,Cooper,emma.cooper@icloud.com,987654321,Female,07/14/1989,False,False,False,False
56789012349,NOP23459,NaN,25,210987654959,NaN,NaN,True,20,False,Ethan,Rogers,ethan.rogers@gmail.com,8765432101,Male,05/02/1982,False,False,False,False
67890123460,PQR78960,NaN,35,109876543060,NaN,NaN,False,10,True,Sophie,Evans,sophie.evans@outlook.com,7654321098,Female,02/10/1985,False,False,False,False
78901234571,STU23461,NaN,45,098765432161,NaN,NaN,True,15,False,Noah,Cook,noah.cook@icloud.com,6543210987,Male,01/27/1988,False,False,False,False
89012345682,VWX78962,NaN,25,987654321262,NaN,NaN,False,20,True,Amelia,Watson,amelia.watson@gmail.com,8765432101,Female,05/02/1982,False,False,False,False
90123456793,YZA12363,NaN,15,876543210363,NaN,NaN,True,10,False,Liam,Reed,liam.reed@outlook.com,3210987654,Male,09/15/1998,False,False,False,False
12345678904,BCD23464,NaN,25,765432109464,NaN,NaN,False,15,True,Lily,Reyes,lily.reyes@icloud.com,2109876543,Female,05/18/1980,False,False,False,False
23456789015,EFG78965,NaN,35,654321098565,NaN,NaN,True,20,False,Emma,Cooper,emma.cooper@gmail.com,1098765432,Female,12/12/1987,False,False,False,False
34567890126,HIJ23466,NaN,45,543210987666,NaN,NaN,False,10,True,Ethan,Rogers,ethan.rogers@outlook.com,987654321,Male,07/14/1989,False,False,False,False
45678901237,KLM78967,NaN,15,432109876767,NaN,NaN,True,15,False,Sophie,Reyes,sophie.reyes@icloud.com,7654321098,Female,01/27/1988,False,False,False,False
56789012348,NOP23468,NaN,25,321098765868,NaN,NaN,False,20,True,Mason,Hughes,mason.hughes@gmail.com,5432109876,Male,03/05/1997,False,False,False,False
67890123459,PQR78969,NaN,35,210987654969,NaN,NaN,True,10,False,Lily,Reyes,lily.reyes@outlook.com,1098765432,Female,05/18/1980,False,False,False,False
78901234570,STU23470,NaN,45,109876543070,NaN,NaN,False,15,True,Oliver,Miller,oliver.miller@gmail.com,987654321,Male,09/09/1994,False,False,False,False
89012345681,VWX78971,NaN,25,987654321171,NaN,NaN,True,20,True,Sophie,Clark,sophie.clark@outlook.com,6543210987,Female,10/03/1992,False,False,False,False
90123456792,YZA12372,NaN,15,876543210272,NaN,NaN,False,10,False,Aiden,Perry,aiden.perry@icloud.com,5432109876,Male,07/15/1996,False,False,False,False
12345678903,BCD23473,NaN,25,765432109373,NaN,NaN,False,15,False,Emma,Roberts,emma.roberts@gmail.com,4321098765,Female,11/28/1988,False,False,False,False
23456789014,EFG78974,NaN,35,654321098474,NaN,NaN,True,20,True,Lucas,Bennett,lucas.bennett@outlook.com,3210987654,Male,08/15/1993,False,False,False,False
34567890125,HIJ23475,NaN,45,543210987575,NaN,NaN,False,10,True,Sophia,Ross,sophia.ross@icloud.com,2109876543,Female,04/29/1980,False,False,False,False
45678901236,KLM78976,NaN,15,432109876676,NaN,NaN,False,15,False,Ethan,Wilson,ethan.wilson@gmail.com,1098765432,Male,12/12/1987,False,False,False,False
56789012347,NOP23477,NaN,25,321098765777,NaN,NaN,True,20,True,Amelia,Turner,amelia.turner@outlook.com,987654321,Female,07/15/1996,False,False,False,False
67890123458,PQR78978,NaN,35,210987654878,NaN,NaN,False,10,False,Liam,Anderson,liam.anderson@icloud.com,8765432101,Male,02/03/1999,False,False,False,False
78901234569,STU23479,NaN,45,109876543979,NaN,NaN,False,15,True,Grace,Miller,grace.miller@gmail.com,7654321098,Female,01/27/1988,False,False,False,False
89012345680,VWX78980,NaN,25,098765432080,NaN,NaN,True,20,True,Aiden,Scott,aiden.scott@outlook.com,6543210987,Male,10/22/1986,False,False,False,False
90123456791,YZA12381,NaN,15,987654321181,NaN,NaN,False,10,False,Sophie,Lopez,sophie.lopez@icloud.com,5432109876,Female,06/26/1981,False,False,False,False
12345678902,BCD23482,NaN,25,876543210282,NaN,NaN,False,15,True,Liam,Clark,liam.clark@gmail.com,4321098765,Male,02/23/1999,False,False,False,False
23456789013,EFG78983,NaN,35,765432109383,NaN,NaN,True,20,False,Lily,Ward,lily.ward@outlook.com,3210987654,Female,08/06/1984,False,False,False,False
34567890124,HIJ23484,NaN,45,654321098484,NaN,NaN,False,10,True,Mason,Hughes,mason.hughes@icloud.com,2109876543,Male,04/29/1990,False,False,False,False
45678901235,KLM78985,NaN,15,543210987585,NaN,NaN,True,15,False,Emma,Reyes,emma.reyes@gmail.com,1098765432,Female,05/18/1980,False,False,False,False
56789012346,NOP23486,NaN,25,432109876686,NaN,NaN,False,20,False,Elijah,Hill,elijah.hill@outlook.com,987654321,Male,12/12/1987,False,False,False,False
67890123457,PQR78987,NaN,35,321098765787,NaN,NaN,True,10,True,Sophie,Scott,sophie.scott@icloud.com,8765432101,Female,02/27/1985,False,False,False,False
78901234568,STU23488,NaN,45,210987654888,NaN,NaN,False,15,False,Oliver,White,oliver.white@gmail.com,7654321098,Male,11/10/1993,False,False,False,False
89012345679,VWX78989,NaN,25,109876543989,NaN,NaN,True,20,True,Chloe,Miller,chloe.miller@outlook.com,6543210987,Female,07/15/1996,False,False,False,False
90123456790,YZA12390,NaN,15,098765432090,NaN,NaN,False,10,True,Oliver,Clark,oliver.clark@icloud.com,5432109876,Male,01/27/1988,False,False,False,False
